1,2,3,4
0.1144829,0.124152414,0.053387434,0.088905311
0.113262167,0.121979889,0.049766221,0.08692496
0.111961199,0.119699093,0.045991336,0.084862822
0.110577256,0.117311578,0.042040088,0.082719679
0.109107842,0.114818482,0.037878631,0.080496407
0.107550735,0.112222503,0.033457511,0.078193916
0.105904059,0.109526788,0.028703187,0.07581301
0.104166302,0.106734622,0.023523575,0.073354215
0.102336317,0.103850867,0.017860734,0.070817775
0.100413366,0.100879382,0.011890121,0.068203463
0.098397111,0.097825089,0.00653123,0.065510335
0.09628758,0.094692713,0.003377805,0.062737126
0.094085144,0.091486027,0.00183832,0.059881555
0.091790461,0.088209419,0.000717249,0.056940716
0.089404313,0.084865045,-0.000233904,0.053911186
0.086927647,0.081454624,-0.001005253,0.050788956
0.084361212,0.0779779,-0.001567609,0.047569342
0.081705607,0.074432786,-0.001929123,0.044247207
0.078960867,0.070814885,-0.0021339,0.040815969
0.076126293,0.067116438,-0.002238606,0.037267993
0.073200258,0.063326878,-0.002288253,0.033593348
0.070179763,0.059431682,-0.002310611,0.029784468
0.067060138,0.055411724,-0.00232043,0.025845804
0.063834727,0.051243065,-0.002324681,0.021821352
0.060494374,0.046893891,-0.002326527,0.017838438
0.057027082,0.042321166,-0.002327334,0.014149946
0.053417272,0.037459879,-0.002327691,0.01110778
0.049644825,0.032205685,-0.002327848,0.008955697
0.045683306,0.026383371,-0.002327914,0.007600148
0.041496301,0.019738794,-0.002327937,0.006755621
0.03702964,0.012161398,-0.002327937,0.006201618
0.032197055,0.006162138,-0.002327926,0.005825008
0.026862809,0.004301925,-0.002327907,0.005568879
0.020834685,0.002930438,-0.002327884,0.005398385
0.014010985,0.001501562,-0.002327857,0.005288302
0.007821423,5.99E-06,-0.002327828,0.00521932
0.005466912,-0.001541966,-0.002327796,0.005177199
0.00415726,-0.003102702,-0.002327763,0.005151956
0.002839334,-0.004600875,-0.002327728,0.005137052
0.001468111,-0.005905567,-0.002327691,0.005128323
5.69E-05,-0.00685876,-0.002327653,0.005123225
-0.001366555,-0.007399141,-0.002327613,0.005120244
-0.002745272,-0.007632057,-0.002327572,0.005118482
-0.003989995,-0.007713909,-0.002327528,0.005117422
-0.004985309,-0.007739495,-0.002327484,0.005116767
-0.005651086,-0.007747113,-0.002327437,0.005116346
-0.006010279,-0.007749358,-0.002327389,0.005116061
-0.006170006,-0.007750035,-0.002327339,0.005115854
-0.006231993,-0.007750242,-0.002327287,0.005115695
-0.006254257,-0.007750303,-0.002327233,0.005115562
-0.006262008,-0.007750313,-0.002327177,0.005115446
-0.00626471,-0.007750304,-0.002327119,0.005115339
-0.006265675,-0.007750287,-0.002327059,0.005115237
-0.006266031,-0.007750265,-0.002326997,0.005115137
-0.006266164,-0.007750241,-0.002326933,0.005115038
-0.006266208,-0.007750214,-0.002326866,0.005114939
-0.006266215,-0.007750186,-0.002326797,0.005114838
-0.006266204,-0.007750156,-0.002326726,0.005114736
-0.006266184,-0.007750125,-0.002326652,0.005114632
-0.006266157,-0.007750092,-0.002326575,0.005114525
